card,ranking,rating,usage,usage_delta,win,win_delta,cwr
mega-knight,0.6826848872285348,0.6826848872285348,0.11205014069608538,-0.129999999999999,57.138213680045226,-0.4866703918938171, 0.5803822953637535
goblin-giant,0.6227643678064652,0.6227643678064652,0.03699111484822717,0.07000000000000028,55.48373287671233,-0.09140785223518577, 0.5569237608357412
battle-ram,0.5611865158386548,0.5611865158386548,0.049741648099850676,-0.020000000000000462,52.90016554183114,0.2746773312134678, 0.5305035344567657
electro-giant,0.547323954433681,0.547323954433681,0.06456976451418284,-0.04999999999999982,52.275848538355895,-0.45202851328938465, 0.5243163883281337
giant,0.5365317054104118,0.5365317054104118,0.028630109437326506,0.08999999999999986,52.190265486725664,0.37001732187862757, 0.5225486846600615
royal-hogs,0.5312733656005159,0.5312733656005159,0.07026253240285478,0.010000000000000675,51.62606206756666,0.49372317418727363, 0.5174896371173006
ram-rider,0.5186486855772853,0.5186486855772853,0.07484366661757744,-0.05999999999999961,51.14675016926202,0.296835639347492, 0.5123953711750446
hog-rider,0.5123369356965168,0.5123369356965168,0.09448886228568985,-0.0600000000000005,50.83459024635495,0.2463549522373043, 0.5092076770742722
golem,0.4729432191122412,0.4729432191122412,0.0298130016801187,0.029999999999999805,49.72114516386041,0.2546417529805822, 0.4971256501505612
royal-giant,0.44050773332028764,0.44050773332028764,0.058337015026056885,0.009999999999999787,48.28175895765472,-0.18423774570041473, 0.48175266647448833
goblin-barrel,0.4343135114786894,0.4343135114786894,0.06953094442940097,-0.1200000000000001,48.02887790657952,-0.28184419407693895, 0.47881532248194836
elixir-golem,0.4317702127384458,0.4317702127384458,0.046042536615027954,-0.0600000000000005,47.97427431558674,-0.02837849750046928, 0.47874680030284456
wall-breakers,0.4140906536917139,0.4140906536917139,0.05544075008353088,-0.009999999999999787,47.27657022078775,-0.5052979928073711, 0.4711663491487496
balloon,0.40599838011772293,0.40599838011772293,0.06785874334722083,0.020000000000000462,46.94653816535598,-0.3396811312857011, 0.4672424583802729
mortar,0.38258940207344955,0.38258940207344955,0.024558869870768628,0.04999999999999982,46.192533367721964,-0.041543746067901566, 0.4609333685880487
goblin-drill,0.3623385716575954,0.3623385716575954,0.03609800745206278,0.040000000000000036,45.26232672398666,0.17770822921394824, 0.45082601374414055
x-bow,0.309895182039742,0.309895182039742,0.033896909436693094,0.050000000000000266,42.99261889189947,1.5852114844920564, 0.4274661508704062
lava-hound,0.24549116770711882,0.24549116770711882,0.018172518578692422,0.08000000000000007,39.952945277100035,0.48050619500872216, 0.397621372148753
graveyard,0.1899539964826533,0.1899539964826533,0.028672864578632246,0.06000000000000005,36.69299166068372,0.6806835175282941, 0.36299539432535394
royal-delivery,0.5953692013842143,0.5953692013842143,0.11338980179033195,0.05000000000000071,53.739910063402505,-0.19622420621424652, 0.5421825284314652
the-log,0.5912380557787459,0.5912380557787459,0.2284042989502821,-0.120000000000001,53.03318126984568,-0.325751632337024, 0.5393061558229179
barbarian-barrel,0.5498186524864237,0.5498186524864237,0.11890996559002887,-0.11999999999999922,52.06812976082672,-0.05016873254152188, 0.5234726882500529
arrows,0.5043044656594806,0.5043044656594806,0.14454563161220138,-0.120000000000001,50.42670435249394,-0.009949056516546761, 0.5049816868580795
zap,0.46841738531891347,0.46841738531891347,0.08655540828784661,-0.1899999999999995,49.242590559824365,0.009617152409191476, 0.4917080596058324
giant-snowball,0.45516676570389913,0.45516676570389913,0.07081993276358149,0.17999999999999972,48.78026965990653,0.8968812881957575, 0.4868728191553363
goblin-curse,0.4480819986136344,0.4480819986136344,0.05188415573639397,0.020000000000000462,48.53044407141767,0.37196192856052335, 0.48450024142926124
tornado,0.3040908587627077,0.3040908587627077,0.14365410773978904,0.4399999999999995,43.200908309266076,0.272071464901245, 0.42059599665315056
void,0.28369562890745936,0.28369562890745936,0.041836697529544595,-0.1299999999999999,41.699470098410295,0.2601631866737435, 0.41336809670538044
lightning,0.5497824147314986,0.5497824147314986,0.09886730546014826,0.39000000000000057,52.13101625690718,0.19710468600432307, 0.5236394013721517
fireball,0.5395566342776807,0.5395566342776807,0.3021917552252325,-0.26000000000000156,51.234312364084154,-0.2117931818295702, 0.5176846942913357
poison,0.5315711206822356,0.5315711206822356,0.1701132061130351,0.3200000000000003,51.26923399145467,0.2134899653530482, 0.515288496051687
freeze,0.449173623128178,0.449173623128178,0.19708694970570212,-0.5399999999999991,48.575055639919334,-0.015449944581575892, 0.4822527544005364
earthquake,0.4346636410579701,0.4346636410579701,0.1249336899428823,-0.009999999999999787,47.99609612654634,-0.1087831698581283, 0.4770926577731427
rocket,0.3885048614891405,0.3885048614891405,0.10680709355299975,0.08999999999999986,46.29127192397219,0.1422193251912489, 0.45846889316778433
musketeer,0.5860364941860244,0.5860364941860244,0.08291488718185028,0.129999999999999,53.58377418307519,0.04608599473528585, 0.5390782815135675
witch,0.5530458771325732,0.5530458771325732,0.08653007190781357,-0.16999999999999993,52.349754776370695,-0.11121558915234431, 0.5257137133126315
executioner,0.5163863609883964,0.5163863609883964,0.10726314839359433,0.33000000000000007,50.955902977693135,-0.11496987535793579, 0.5107076119131484
electro-wizard,0.5081568471267367,0.5081568471267367,0.11508100515753686,-0.08999999999999986,50.624707598315766,-0.2709898549888976, 0.5070595552791167
baby-dragon,0.49307531442649155,0.49307531442649155,0.06050327551888115,-0.1200000000000001,50.2250837520938,0.5541739929811769, 0.502395810118119
